popularity,acousticness,danceability,loudness,tempo,key,,,popround,acouround,danceround,loudround,temporound,key
38.33333333,0.590111111,0.467222222,-14.448,117.5181111,5,,,38.333,0.59,0.467,-14.448,117.518,5
30.57692308,0.862538462,0.441730769,-10.69,103.0441538,5,,,30.577,0.863,0.442,-10.69,103.044,5
34.85714286,0.856571429,0.348285714,-15.23071429,77.37585714,0,,,34.857,0.857,0.348,-15.231,77.376,0
34.85185185,0.884925926,0.425074074,-15.63937037,88.66762963,0,,,34.852,0.885,0.425,-15.639,88.668,0
43,0.510714286,0.467142857,-10.23671429,122.8358571,5,,,43,0.511,0.467,-10.237,122.836,5
32.77777778,0.609555556,0.487277778,-18.26638889,118.6489444,5,,,32.778,0.61,0.487,-18.266,118.649,5
0,0.725,0.637,-20.615,134.819,8,,,0,0.725,0.637,-20.615,134.819,8
3,0.927,0.734,-10.544,132.788,10,,,3,0.927,0.734,-10.544,132.788,10
34.2295082,0.173145082,0.662786885,-9.768704918,133.0311803,9,,,34.23,0.173,0.663,-9.769,133.031,9
67.53333333,0.544466667,0.7898,-9.149266667,112.3448,1,,,67.533,0.544,0.79,-9.149,112.345,1
67,0.239,0.883,-4.098,126.677,6,,,67,0.239,0.883,-4.098,126.677,6
59,0.000122,0.514,-5.115,174.028,7,,,59,0,0.514,-5.115,174.028,7
57.5,0.1481,0.854,-6.997,100.7245,1,,,57.5,0.148,0.854,-6.997,100.725,1
61.8,0.14148488,0.749344,-6.631304,115.022024,1,,,61.8,0.141,0.749,-6.631,115.022,1
47.69230769,0.624769231,0.563615385,-8.338461538,117.0068462,7,,,47.692,0.625,0.564,-8.338,117.007,7
48.66666667,0.553888889,0.648444444,-11.45977778,114.8084444,2,,,48.667,0.554,0.648,-11.46,114.808,2
48,0.6045,0.7735,-12.669,105.7,10,,,48,0.605,0.774,-12.669,105.7,10
34.625,0.10555625,0.557125,-9.638125,103.08025,0,,,34.625,0.106,0.557,-9.638,103.08,0
67,0.847,0.41,-11.422,89.494,3,,,67,0.847,0.41,-11.422,89.494,3
