popround,acouround,danceround,loudround,temporound,key
38.333,0.59,0.467,-14.448,117.518,5
30.577,0.863,0.442,-10.69,103.044,5
34.857,0.857,0.348,-15.231,77.376,0
34.852,0.885,0.425,-15.639,88.668,0
43,0.511,0.467,-10.237,122.836,5
32.778,0.61,0.487,-18.266,118.649,5
0,0.725,0.637,-20.615,134.819,8
3,0.927,0.734,-10.544,132.788,10
34.23,0.173,0.663,-9.769,133.031,9
67.533,0.544,0.79,-9.149,112.345,1
67,0.239,0.883,-4.098,126.677,6
59,0,0.514,-5.115,174.028,7
57.5,0.148,0.854,-6.997,100.725,1
61.8,0.141,0.749,-6.631,115.022,1
47.692,0.625,0.564,-8.338,117.007,7
48.667,0.554,0.648,-11.46,114.808,2
48,0.605,0.774,-12.669,105.7,10
34.625,0.106,0.557,-9.638,103.08,0
67,0.847,0.41,-11.422,89.494,3
43,0.538,0.731,-4.182,88.003,5
79.25,0.011,0.641,-4.474,151.013,1
45.8,0.012,0.589,-5.26,134.969,2
45.371,0.192,0.609,-6.274,115.616,0
43.5,0.013,0.452,-4.262,168.371,2
36,0.008,0.255,-5.085,144.653,7
42,0,0.542,-5.025,119.128,1
59.286,0.123,0.688,-7.505,87.361,1
63,0.011,0.696,-7.665,121.932,0
50,0.022,0.789,-6.629,149.368,4
48.714,0.111,0.408,-5.051,150.523,6
37,0.191,0.584,-13.288,118.476,9
68,0.158,0.619,-6.588,114.875,6
27,0.589,0.293,-13.496,100.623,0
41.579,0.231,0.561,-10.354,121.8,7
37,0.27,0.929,-6.794,114.973,1
50.167,0.139,0.677,-7.617,114.645,1
52,0.991,0.414,-39.385,74.477,7
50.5,0.08,0.386,-3.887,138.692,5
31.75,0.105,0.512,-6.578,140.934,2
32,0.67,0.466,-4.884,98.254,7
23,0.892,0.59,-11.349,97.404,0
19,0.08,0.739,-15.621,120.939,11
24.25,0.419,0.757,-9.726,128.498,9
38.222,0.32,0.68,-13.468,121.795,9
56,0.735,0.783,-8.507,99.802,10
59.5,0.038,0.699,-4.687,131.008,7
57.024,0.135,0.749,-6.11,130.114,1
0,0.001,0.588,-5.582,96.007,7
47,0.072,0.814,-5.416,120.113,11
30,0.078,0.906,-13.632,126.073,9
29,0.072,0.781,-13.943,122.819,2
35.81,0.053,0.873,-11.566,126.413,7
51,0.004,0.53,-6.19,134.068,10
55.75,0.031,0.698,-11.522,130.972,5
45,0.035,0.788,-13.304,102.345,1
56.333,0.002,0.879,-9.099,127.015,11
33,0.044,0.851,-10.707,117.847,11
27,0,0.458,-12.131,133.573,2
